artist	artistId	album	albumId	date	song	songId
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Natural Causes	0c1WHB6CB5gdvhD6nkAw7b
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Lose That Boy	2C1dTOaOJn16LvrdMMxWn7
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Doppelgänger	5Xa7Z9PpwJmYUDftfuff3e
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Special Effects	6SbnCGDuviTNZLytPMlkWA
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Strange	6dCYQQFyJVjLx0WScW5PTH
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Magnetic	3TRUqTODc7Hy9NoYDEl03k
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	We Don't Have Normal Lives	13oysegnRjzOJrPXWeUfXs
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Hypothetically	5bOCg9azZ9PxMYk2asuQlj
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Imaginary Friend	0eKUhuAoEC4kR70x70AD2B
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Lady Spider	3jOHfcWOkxj4Ci66mewFks
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	Hot Air Balloons	6gr3yOhQkwQ089YC0ACQ6q
Freezepop	4gg8SEqY40Y6ygiwkcQOWD	Imaginary Friends	06Fg9G9yDoWNfuEai7MTHI	2010-12-07	House of Mirrors	24V3sqhwScsSZcEsKDR1cj
