artist	artistId	album	albumId	date	song	songId
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Painted Eyes - Original Mix	7Aaig6TQeCjY6vjy9TlsCw
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	My House - Original Mix	3AORPzeX02J8tz61LtnFLc
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Answers Come In Dreams - Original Mix	1oxDwSEtC71IGjrHu19yvf
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Leonora - Original Mix	31jJgabTjfZ8sSCEjn0Lwj
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Boy Blue - Original Mix	4sKDY6CJlbaQGtiqtJVpN5
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Blue Song - Original Mix	0hBA0RNcZQPsfqoNMOtlvZ
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Falling - Original Mix	2sNa2JVTqGOpcia8qBz88e
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	I Can't Wait - Original Mix	4cPvLblmb2Fs8SvhhY8qZP
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Step Up - Original Mix	6FXQpD74dD5LnVIwpulyve
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Visitor - Original Mix	5WBAuhp1HyCxpeLFV4efyg
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	It's Alright - Original Mix	3DE4F4zXLlEkWmvYljb1X7
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Shelter - Original Mix	3I1UCdglpWjCEESuRTeAQl
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	My House - Stopmakingme Remix	0u3LmxnxEiyZQ6WHDtQhyg
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	My House - Tensnake Remix	3bsxPbSFbved7UBGHJTod5
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	My House - Derrick Carter's BHQ Voodoo Remix	6Wu8hXLnTy4T8ARpd2CJXb
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	My House - Andy Butler Remix	5Vj8TrhLB6x2Dq5D2aVVzT
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Painted Eyes - Inflagranti Remix	1KWDbJYOrNGrZc7IDkGHJC
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Painted Eyes - Moonlight Matters Remix	5K8QbtAwcjZzJL6oS8CGRa
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Blue Songs	07DoR2BYZ3bApdUCpjf38P	2015-10-16	Painted Eyes - Wolfram Remix	7tI2Ak1M5vatmRqhmFwanL
