artist	artistId	album	albumId	date	song	songId
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	7 Skies H3 (Can't Shut off My Head)	7LXXzh8iRgmrM74vbRXsFr
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	Meepy Morp	5tsss0EO0a1dAE5ZJPTLE3
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	Battling Voices from Beyond	0hMxcEdHLSGxPxKL40QaUI
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	In a Dream	1jQhF2sgEZhsvTc5VfE1U7
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	Metamorphosis	2p9dCnWGAFDZP8QVlspiaE
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	Requiem	20ue1xsBcrs18EA48xwG5P
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	Meepy Morp - Reprise	1pwG471pL5rHXHb6b1K0DT
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	Riot in My Brain!!	02ETR0gYDnGxjsAaJZGdhg
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	7 Skies H3 (Main Theme)	1GnVx9VyK4Qq3LXILVbnUb
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	7 Skies H3	0QjJUdxusCfbeEScT62Sqf	2014-04-19	Can't Let It Go	5SGbkP4fOFj2VnkvJ98sx9
