artist	artistId	album	albumId	date	song	songId
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Suffer for Fashion (Live)	5gboSd029creutPEFRPXSC
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Fugitive Air (Live)	37wSXRnknPD5G4cAwoc6xJ
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	A Sentence of Sorts in Kongsvinger (Live)	2Kbqe7AYLqtoaOWkqXK1zm
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	The Party's Crashing Us (Live)	142ihX8SudllK48GsyUaeV
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Triumph of Disintegration (Live)	0GOQHYAwWmIRL4sqGWtuec
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Coquet Coquette (Live)	2YEzSX9itxRn24bPcczQko
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Obsidian Currents (Live)	4qA5BXF5g7ETbgH0smflI9
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Time Will Show the Wiser (Live)	2776jXEzWB9zB1cMzQba82
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Honeymoon in San Francisco (Live)	6QHeArsWWF6U1H2IoeeWpj
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	You Do Mutilate? (Live)	6thpLAAgztp6ERpOeGS9MZ
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Wraith Pinned to the Mist and Other Games (Live)	5ftRSE2k8WI3unZ2leVXYa
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Bunny Ain't No Kind of Rider (Live)	3vhCZCqOYpM1ZotdgFgdOt
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Plastis Wafer (Live)	0bJEfNnDmegQis1OEgJAfO
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	St. Exquisite's Confessions (Live)	7rWPfRcLFqwlwulNR7kHDy
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Oslo in the Summertime (Live)	2nnVXOng4Pd9YT5hAGVPHj
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Heimdalsgate Like a Promethean Curse (Live)	074J2RDK4P2hbuoAZOOPNz
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	Gronlandic Edit (Live)	24asDnKOH2FpoVfqNDhnAl
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	She's a Rejecter (Live)	2B9IHYXvGwrFav7Wmyikre
of Montreal	5xeBMeW0YzWIXSVzAxhM8O	Snare Lustrous Doomings (Live)	0RxhFB1jLQzI2HrZx8vCZi	2015-04-17	The Past Is a Grotesque Animal (Live)	23bNhsYvCcyUtzAT6U9AsS
