artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	King Arthur The Red	38crDaFUyL0VkUdgAxmEYB
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	The Corners are Glowing	1vjQIii4bn7TbJ9iabDXVn
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Have A Jug	15eC88vU2DJx9ZdaLMC9h1
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Hangover Child	0bbGDTvzxzBvqh46S4a8sc
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Dome Rust	3C2i8wgGLMuQOg5ylYVhd4
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Finger Gang	2XjrkKR1HR1ih8mj4O731z
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	The Challenge Is Much More	6f2KuvKT4ataJhP6KUTWp6
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Waving At Airplanes	5KiMtJ4jg6oy7LA8OEb0vx
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	The Military School Dance Dismissal	6fgeyr7NXhFrQ9uH7C7eNo
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	White Flag	1ueRAKTjIOZ7lwIcFC0oD3
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Skin to Skin Combat	1B2kv1BRi0w1Apmusbuxas
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	She Lives In An Airport	6SkhwxPdtpA0pXFOH3Djln
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Tree Fly Jet	1w0tVS68cEHGkLhFx1rILV
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Walking Up The Stars	5y9tvhtaKSYkN7NQabBa1c
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Up Instead of Running	20ba46kBOIncnWcrUAPyYI
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Smoggy Boy	71kUeEgJJMhxmXlQR5mKvh
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Amorphous Surprise	1JQlxtpVcEu6Gq72SlXrrM
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	You Can Fly Anything Right	7wJz3HYG7L5zg1HHoNE6QB
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	The Bears for Lunch	0V92sostdRqcKmITyxDayM	2012-12-11	Everywhere Is Miles From Everywhere	7KuTw7lRTIMHlo9PvbutTW
