artist	artistId	album	albumId	date	song	songId
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	To My Mr. Smith	1LjuwCP8Wi7tk2IAOYwC6O
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Jeane, If You're Ever in Portland	5UenCnFmE9nzduFCvJjerS
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Toby, Take a Bow	6RjhMHiTo75UHoSs5FHeUB
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	It Wasn't the Same Somehow	2Qs9Pl3EkLRVzvF3s7cfB1
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Hey Eleanor	1ePIxpikl8PpYFOGZ3i2pX
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Half Ghost	6VmuQY73kqq7EglTlKQbkO
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Calloused Fingers Won't Make You Strong, Edith Wong	5AacG23rJxYs18KBA7GH83
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Blue Corolla	4rl5vM63hCTw6dtG6evlJG
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Casiotone for the Painfully Alone in a Yellow T-Shirt	5tRAO9MeB19NE0PMYQspuG
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Students for Scarves & Charm	1oVgvlXnXHQumSEDdvTwkH
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Roberta C.	3dz4x9H1NKAol2krERu5ex
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Attic Room	2gziatbtQixCGixkjx4esQ
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Giant	25h0pYbNYbnzNd7qhJ81kb
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Twinkle Echo	0XzbndqkdITUltwXOIBYZJ	2003-09-09	Twinkle Echo	4r6hNLg3wVunV2aD2JKh7T
