artist	artistId	album	albumId	date	song	songId
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Hokarangen	0NzUbBffwDxxXUGOjOe5Zj
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Entropy	3O8qyIVdf4FrsLNjNQh3DM
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Event Horizon	2Mfw71ImYPtEBTMGtKJy89
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Millions of Stars	6vgTXtb5x0mCXSNBWh0ieJ
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Images of You	2hXKyyWzAGWhAJxJXFu6DB
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Running with the Eventide	0yDc1OqmyhRARIF9i7K8FQ
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Yesterday's Gone	1x4FGcPhKNmtNNKjCrJqD2
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Wild for the Night	3iv6V6lKMsVqsVxwyo8heY
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Shine On	75ah8tE0II1zeTWKGOLHax
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	Sea of Love	2hUgq1EqlVMAUyWvY7MsKd
Azure Blue	3h0sk58Yt1FpqFbx9JOqhf	Images of You	0bE38YgL6NNoV1QQQkrYiz	2019-06-14	The Rose	07FKcwrneXRQXc5Gt1c9Xz
