artist	artistId	album	albumId	date	song	songId
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	The Stars Of Track And Field	6eoOaVsNyQUDYajnylh2y9
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	Seeing Other People	5UEgfVAMpUCdALwBjfETw1
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	Me and The Major	4yWtNWnO7l98fHqVKvzZE5
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	Like Dylan In The Movies	6jXEtGdG693WjVkAfQdiwr
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	The Fox In The Snow	5MJdMFB6bBzovPwfX9kIBY
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	Get Me Away From Here, I'm Dying	5KJODqBbl51eURh8cLq0n5
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	If You're Feeling Sinister	7DVWZrkGOEKRzv9ZxeGQDP
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	Mayfly	2Wkdt3VcYmMgvCiOBeIBrF
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	The Boy Done Wrong Again	6koiIT0nby2O8kUUu6OkFF
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	If You're Feeling Sinister	0cR6FGQSOUDEwwapI7yfQZ	1996-01-01	Judy And The Dream Of Horses	4Kqu327Buu779NNKFPD59Y
