artist	artistId	album	albumId	date	song	songId
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	A Manatee Dance	1dKZtV3dMfPP0XxOXd0B92
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Penguin Penguin	4zWXxxsTI02IaV0ThBQJ8k
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Another White Singer (Little White Glove)	6QTthsmh0DLCn6SDkDPDmE
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Essplode	5HXdDKcui20KxfTTbscy8M
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Meet The Light Child	2WA9aljMAf75oiVeOgPasf
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Runnin' The Round Ball	0vu0Ym1cEpOrrf3PV5fvJ4
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Bad Crumbs	450bsdKvyHLC5p5mBBzl7o
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	The Living Toys	4N5aFtQHCt37CZ1CWDEq0x
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Throwin' The Round Ball	7CkRkVXKlbr8LwpDWdq0K8
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Ahhh Good Country	0A1ZrOCLXuY8Ze6ddM4AhS
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	Lablakely Dress	1OMP7KzD66CS65wkEF5Qhu
Animal Collective	4kwxTgCKMipBKhSnEstNKj	Danse Manatee	0jaso2GacWot92UZ3LCxhM	2001	In The Singing Box	0Gbu8lCPVSJSzJ1hBRD69L
