artist	artistId	album	albumId	date	song	songId
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	The Strangers	3LWkeQ4hhHdlz4ZOyt6xHK
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	Save Me from What I Want	3jdgYB99xF0EIWHkSzpYVt
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	The Neighbors	0Y1ueEIOy5YSojIhjjlfAy
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	Actor Out of Work	2xKubhZrTsFBPvgrpJvd4V
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	Black Rainbow	1ArTGgRnvDq2TnRSCZPxtJ
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	Laughing with a Mouth of Blood	7dUHmRnpaoLErFoByFPL1P
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	Marrow	0koFPJrckCMp8z8OrfoF4T
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	The Bed	6DW5l1i66BBekaoiG8a5cE
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	The Party	5XzI6EqoMYmVaoSuq1jIKx
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	Just the Same But Brand New	1JwelbMIeVutsW5Nzv844s
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Actor	0nARXdbUQGhn3PCyv8p2NT	2009-05-05	The Sequel	2ugd1pDt7SVAWf75eZgjUH
