artist	artistId	album	albumId	date	song	songId
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Fidelity	6GskIhdM6TN6EkPgeSjVfW
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Better	7IUBNrgkUH8XzlEWTOb1Qc
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Samson	2bbhyUWJ5VjdfI3P4PRLu2
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	On the Radio	6uA9lKAYHcBLhxb5KZYygj
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Field Below	0AeisMW0Zm6skbZOBLwxx8
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Hotel Song	3hMeLjX7z3VCZVsJYJ9Ar8
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Après Moi	2MLPOGnN3OtAYpMt7f93SB
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	20 Years of Snow	7i3fQwYoO7v03l36KrE73c
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	That Time	1eFlXudtmDd6faXHT7RdAe
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Edit	6c3p4BDn61s1FfR6gJLZap
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Lady	0MhyoQLsRhjEqNBFOHfpuX
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Summer in the City	6uPRewLICfMkEsU3OMrlcB
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Another Town	2vS1A9H4KVHH291HqWRPmK
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Uh-merica	3qaWrudsPNYQvHGVKiL1AX
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Baobabs	0ZC4AlsqKE5IAQzELJb0oo
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Düsseldorf	2UcoGmLXUCvD2yLA34S7lL
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Begin To Hope (Special Edition)	0ssMZRCnobXKQXjQ2R5A5a	2006-06-13	Music Box	3cUGzeL003o8GIiY2xDDIH
