artist	artistId	album	albumId	date	song	songId
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Equestrian	5X1YqlUYsOIJstQQ2UsOMQ
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Patty Lee	4w2I935vXufKl7WcMOFhPX
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	What Would Wolves Do?	7dUSlsH2TggPLpq6EGtFrB
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Sweat Descends	4lI0voYKnk0F3c9vur30gT
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Yawn Yawn Yawn	4QBgbSPg7qk7qcoG7LwfQi
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	We'll Make A Lover Of You	6qSCItey8RvF8YCgBp6RKK
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	The Year Before The Year 2000	27hrzZ2dMRFW7nMK997Krf
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	The Lowest Bitter	4WXdk9bK22kf9IH8fIghue
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Who Rocks The Party	68VNv4JuWVAeaaBPZ6fWVM
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Tim Speech	7g5qjd8XCynylhdCN09Bm9
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Hey Tonight	46ixOQjp45paHchk7TJQKk
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Debaser	1erKGLV3bP1PzS1JAhn8ff
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Astro Zombies	1taVkQQzMs3N3kabBqp7F3
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Sliver	4QcW7R8BrmwHhldYmAMA1J
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	After The Balls Drop (Live NYE)	10CWWRTkXOEXKuqKT2TzII	2008-04-29	Everybody's Gotta Live	3nngyTycpXWsYCjC88nsdL
