artist	artistId	album	albumId	date	song	songId
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Omnion (feat. Sharon Van Etten)	3osb2pIiVT7MJ5NG4qekoz
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Controller (feat. Faris Badwan)	7mwIe82EKIlv6W2lrHimD4
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Rejoice (feat. Rouge Mary)	5cnhUifUjZPwxuBmAwSrkJ
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Are You Still Certain? (feat. Mashrou' Leila)	1zRQj3mFF3zXqihSzcKd2r
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Running (feat. Sísý Ey)	5NSZPENtUDQq9g1YyNPpqb
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Fools Wear Crowns	2GBRYyIFo9qlPImkkIdHrR
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Lies (feat. Gustaph)	3uwexukEEAJByiPNySe2NO
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Wildchild (feat. Rouge Mary)	749lThHZQ0um1BbiCVivO7
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	My Curse and Cure (feat. Gustaph)	6AmDh0EDgpkZgN6aVxgFnf
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Through Your Atmosphere (feat. Faris Badwan)	3vHiQEVmRgEvLhT5f4AjHv
Hercules & Love Affair	1WHoAjAWGx5qLsgzpaOk7W	Omnion	1Deickf7jTkVvnXYEnnffz	2017-09-01	Epilogue (feat. Gustaph)	13sgnJHvd2Ee4zE68aClRX
