artist	artistId	album	albumId	date	song	songId
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	My Chariot	6AbAeXjTbZCnehmSKdl59c
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	Crucify You	6xbYEA5k5uA0DwXvAA4OYm
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	Blue Lily	5ONDTPyS88jRy3eZylfQFG
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	Dream About Me	3krLB8UbnVrO5eoNX4nFG6
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	November	1C0qJU9zVdo1Xn72SXXWYH
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	Trace	6tKMO6EJpDKUo8iy5l43zp
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	A Key Turns	23bTVhYegjqjJaT6ll1Lh4
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	Spirit Youth	00oUY2cgp4IyKk9II2cDlm
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	Through the Snow	7hOVkn6lFPRufZbIOKxvAE
The Depreciation Guild	3Hg2a04c1Z2I3wKX32hLGU	Spirit Youth	1InJSIBMgXF8kD6Dsd6Hj1	2010-04-20	White Moth	2VcHMI1EcOvHylqFjJPxDy
