artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Xeno Pariah	0voilewVCzIhX1e3WofA8m
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Know Me as Heavy	4xqIk5v6R2sHyOBntQjlCQ
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Island (She Talks in Rainbows)	2M5moyPOR2GwwpnfZz97ud
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Trash Can Full of Nails	0Ab3XCEgNOpbf2KAd1jn3e
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Send to Celeste (And the Cosmic Athletes)	7grgOOMehIxKY1azHkdSCP
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Quiet Game	45SrK0n9AiSqvdf0uYKO07
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Noble Insect	1lWuI4AuT9kh4wM7crw8JF
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Sir Garlic Breath	0l0CYg7XaszhOdASMTuvp4
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Crybaby 4-Star Hotel	3ZT6xvnTrcbrQNDA0Sgy2h
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Biographer Seahorse	5oWlOnw7IJKdSFc9gSqoNc
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Flunky Minnows	076o6VTj3okJV6rjCo166B
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Birds	0VFhh6Sbmr5o2errJeTULP
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	The Sudden Death of Epstein's Ways	4hyv24lwFUvwer36E0rmRu
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Reflections in a Metal Whistle	4BJJgLe8ZOtMC4wmBrdkZC
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	Taciturn Caves	1uzTqZqXtcre7olp58Jsek
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	A Burning Glass	3X28XrgPqSzxlrihfB9cqe
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	English Little League	1JNZkIxkjoCQBVl46m3YHq	2013-04-30	With Glass in Foot	0viZNMKjvxdnRAASpOseFq
