artist	artistId	album	albumId	date	song	songId
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	Coo Coo Coo	0VFjPpKim0fKiIt5M6wTKT
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	Run the Road	6K2QpUqvNLchsEqRy1iOTW
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	Wha' You Feel Like	7qAHFTFKb4FJYXk6VtxpWP
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	I Don't Want	7wsZg5fyBVJvteGNfcEdpP
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	Valley of the Dolls	4YKGVOUdC38bbUbH7t5gCH
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	Why Me	31sPPWg9AxMXvuzO25DLkg
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	Crashing Your Party	1nMFjfpVjySETbkEEvdLX5
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	Don't Blame Me	4yfRVY2xgt7r0Wb9ISfo4x
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	A Perfect Life	4MyoYNPARzyOoQdf0CZbdB
Santigold	6Jrxnp0JgqmeUX1veU591p	I Don't Want: The Gold Fire Sessions	1K4OziXY7LkBrG6biiSQ1c	2018-07-27	Gold Fire	6GkXjJ5irORDgzHYD1TtjY
