artist	artistId	album	albumId	date	song	songId
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	You Are a Runner and I Am My Father's Son	4gJ2yoJHiF414hSqbDlbWt
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Modern World	4SsRUNYKx4F8BIdINgB5tk
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Grounds for Divorce	7xUZns4uDWPMxmyQmmInFZ
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	We Built Another World	1W3b8dBgHFx0malC6M1Xtr
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Fancy Claps	6zQM8v7I8adOUoPRgcuroA
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Same Ghost Every Night	4APbHh1SBep3Haw3RzL1ea
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Shine a Light	5j04y1F3ZglJVAoWp0vpZR
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Dear Sons and Daughters of Hungry Ghosts	11NjgGY0hVPLA9dqi8Z8cV
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	I'll Believe in Anything	5l3HnrIX9ZxmFVFj4iAz5n
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	It's a Curse	2RY7keQxdGcgpvZRp8ETA0
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Dinner Bells	6sltQlEbVmOQ7uGTO8jrkk
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	This Heart's on Fire	289jcFiEcvM9k6es2vvJfG
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Disco Sheets	6RJyqARYtjOVd1utJ9D7k6
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Lousy Pictures	0SIQ1OudJ91cI8Msb6cMXV
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Modern World - EP Version	2dKrQe7PGlHIviymWw2CrF
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Wits or a Dagger	5WJxNgWUUESSI7sSS4qloQ
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Secret Knives	4OAqhx3x51G2QBUTzfVQmd
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Dinner Bells - EP Version	6TadLTWaOYHN2NOp5GusuC
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies to the Queen Mary (Deluxe Edition)	1LNpj7wlaeRZCsdzsUKKW3	2016-05-13	Dear Sons and Daughters of Hungry Ghosts - EP Version	5pWDIOIxA37lzU5ntOsUHj
