artist	artistId	album	albumId	date	song	songId
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	If I Could Change Time	6xxBITECFpjzNV5PAbTN6m
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Meet Me In the Hat and Fan	24nox1CgpYaoOiWUcbQF3d
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Preboot	24LOiS7910jpKmmzFAhEBz
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Welcome to Hollywoo	3Adyv5DFsWe6Cg62UBb9ij
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Back to Love	1tgwyPjY7ZXOlZuwMBzysZ
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Council Boy	3PkS1vWT5EJz9zWwB4XvHd
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	J Wuff	4lwrFQmqdCXdz1RxXEGBra
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Persephone	0smZekCNJPwqVEIKSHY3eJ
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Get Away	44CoqBzvIiOslXByahJWL6
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Hey, Can We Go Back	1L09GDJHxCNaFQa7gdRGu0
Fear Of Tigers	2eMdch9qwgd4eJoU4Wgsuy	Cossus Snufsigalonica Part III	1QC55VQSwgYIZsTWEJe4Mh	2017-02-27	Hidup	19kCPkrMZDgcH9JDxjvdG9
