artist	artistId	album	albumId	date	song	songId
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Convinced of the Hex	1L7qfEhPBn3qUVzyqnoCTx
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	The Sparrow Looks up at the Machine	46g9BnpvIxzPjSS0NzV2VI
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Evil	7IEfyCtcYTK8mgbxOjKnLX
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Aquarius Sabotage	4IthVf5qf3iWoBHwTEYqeN
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	See the Leaves	0rIquX56QHA77CKjYp2T80
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	If	2nKkrGqRRMn9w2r9P5i0W8
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Gemini Syringes	0xUfpS5s6t5xzjuXRhBkTM
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Your Bats	2mcc3XN94s2MrCcIy2mJzd
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Powerless	0dv3L5t7Rqq3NmfptBgPZB
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	The Ego's Last Stand	1eJ25tKt62LsowYF5qSXTW
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	I Can Be a Frog	3AyNr75o9arnQEn6p4fTGm
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Sagittarius Silver Announcement	7AAW3gZs5aZlaUHNtOajNS
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Worm Mountain	6I3eJHoZ5cvH2mBxCvUZdM
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Scorpio Sword	34J3DKQx1LZ8lFkXNOqsfX
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	The Impulse	0jPkAGSmUZsT4SvrLKTQvz
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Silver Trembling Hands	5VAqZWeUa9RpsXXh7TGDpx
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Virgo Self-Esteem Broadcast	3BHX65cIlq7bvhUQ2gdxq1
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	Watching the Planets	4qPDCVSTbvBFq1aM184E0X
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	UFOs over Baghdad	2Ojke1giopqBY689Mlox81
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	Embryonic	1QaudSbWNyACrk0JGemI3r	2009-10-09	What Does It Mean?	2KNr98sEa1mtIwoJ8NZ8X2
