artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	My Kind Of Soldier	6nlfgVL2vcDWfeeeyINvPW
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	My Son, My Secretary And My Country	34giGgfThxFOdln3S2FWXe
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	I’ll Replace You With Machines	3SoER6RZ8Ltu8XY3E6A08z
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	She Goes Off At Night	6gYvCQaUQ4ar4UiyKsPbcl
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	Beat Your Wings	2nR25rs408kDtEOl2qwVFT
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	Useless Inventions	0iBQ6KBlbtEiN1dTEHltDB
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	Dirty Water	6Bj4RzXEjjdts1aoUpyB26
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	The Best Of Jill Hives	0yLxVP5xhtRyy7vk2NI6df
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	Dead Cloud	1g7qSdcG6mAO59mJaLmyfi
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	Mix Up The Satellite	4HFyWGiol9yKlHq6NvcFv1
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	The Main Street Wizards	4o6t14KgU124kE9UYgIoOR
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	A Trophy Mule In Particular	5qVz1dA9TpemNJbzYsyuyA
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	Apology In Advance	2LDUTi1aiq3R7VfNz2dBwY
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	Secret Star	5SybLlVzB7v4qDgjgaoU0Q
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Earthquake Glue	1UzNtQOIwdkP8Bf9iunuCD	2003-08-19	Of Mites And Men	0yrD0cWtWnkdNR3IBQfO78
