artist	artistId	album	albumId	date	song	songId
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Etiquette I.D.	5n7VnQbx6A4C01afTZln8D
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	New Year's Kiss	7FMteOz4IdoNbl3U2Ydo2x
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Young Shields	7J5sbv9ru6DKV3mUc2RW48
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	I Love Creedence	1mOCICvbkPFkD9yKiYYJRn
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Nashville Parthenon	2bGhSMe3u2qwSgETq0Kab3
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Scattered Pearls	6wvopyhtMMpMH7JlxU0cKL
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Happy Mother's Day	1heVNlPdLGX08jfGL99PO8
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Holly Hobby (Version)	0pZ0bzuywvxr3ClQo3syYY
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Cold White Christmas	6dbadHQiWKAVQ52ImGpvsr
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Bobby Malone Moves Home	3hAh0e2keWsI8iY9BqFXqe
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Don't They Have Payphones Wherever You Were Last Night	1kmSeywVbnlXWMO2c8wa20
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Etiquette	1fMaPBDIcOsEpW4tz6gUhi	2007-03-07	Love Connection	1wUqgT37VDf0VhccQgypBg
