artist	artistId	album	albumId	date	song	songId
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	Race for the Prize - 2017 Remaster	1RZlGlz8eXT1KmJYpqFRzH
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	A Spoonful Weighs a Ton - 2017 Remaster	12V09y1B0z31OH9rvH3pMH
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	The Spark That Bled - 2017 Remaster	6aEkehn1UrYfdjpIRCuzVO
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	The Spiderbite Song - 2017 Remaster	4KPr9Oan2RiTzaT2V5luNH
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	Buggin' - Mokran Mix; NEW 2017 Remaster	2PBtyFh5rgThYrfzr2CNMJ
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	What Is the Light? - 2017 Remaster	5KoyXFZuJICHNDNiqfSvDn
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	The Observer - 2017 Remaster	56aC9hAEk7bWWM6WLf5HvA
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	Waitin' for a Superman - 2017 Remaster	02mLZ4roBiXLsFGdt6KhNu
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	Suddenly Everything Has Changed - 2017 Remaster	1sC5J4UY4iVyi7bRO2fI2c
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	The Gash - 2017 Remaster	4D8amAivdlQ4LyiBD6xc1d
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	Feeling Yourself Disintegrate - 2017 Remaster	12j0Hvgy2QtAzvWbqxoTbx
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	Sleeping on the Roof - 2017 Remaster	4zxQmYMxXzNc8YrToM83F1
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	Race for the Prize - Mokran Mix; 2017 Remaster	6mtIRdklAtM6lRuipHLwok
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	The Soft Bulletin	1mJFgPeuLhU1PzLNBURdJC	1999-05-17	Waitin' for a Superman - Mokran Mix; 2017 Remaster	2EJDRDvRRMZy3pBIDKuvbj
