artist	artistId	album	albumId	date	song	songId
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Old Dominion	4tJO40Sd48VRjFiiRuNfKU
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Count Sheep	5GNebWzfMxRHv8lIgZpNnX
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	In This City	0D0Z8KCmLHNAPoQrfZxpNa
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Window Display	5VxcokTb2NQkggDEU4ml1X
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Native Numb	6JFCbR93YjdAIe7HdCKrvh
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Leave It to Rust	3cnID2qwEEhgMfNjvjmxTr
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Disposable Parts	0XMcKp68YBAkZd3BqiXS2T
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Sold!	58xPrP20ej25w6o2yKoNyo
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Shoulder	5vr1Be2AR7I6e5xbwG5KmN
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Pleasure and Privilege	1SXB2JYgU9xOcyqiGW7dhz
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Natural Disasters	2Q6QyI9G48Et2mIBs13gTW
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Carbonation	6M0JKHOe6J01yoIvSwP2Cz
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Salty	2mTwQvHsg5364gkVF4CCKe
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	High Society	1tXR3Dzh4VmduublnWgjhf
Enon	3jJxGc6wl7xvZHSg8tg61V	High Society	1t6QNkpyZLlTf8aX5HPhCl	2002-06-04	Diamond Raft	18mJsRemaZhevekH6tTLCC
