artist	artistId	album	albumId	date	song	songId
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	Our Hell	01ql8ZfONf21DSRxnOQg2X
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	Doctor Blind	37BJPxEfSLJCdLv8AsYiLV
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	Crowd Surf Off A Cliff	3i8QsEqEmu34PphgGiYCHt
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	Detective Daughter	2PD7wwQCZypHZFijcotq5Q
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	The Lottery	1w0X3RMlVTTmwKprk9XKVT
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	The Maid Needs A Maid	2avDBjhyTQ4PPGyH8Nq2UV
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	Mostly Waving	4XdsEcwAbbq9Dt1rZedTNx
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	Reading In Bed	6O2B8ka20TWZQ1Xwqk6oxh
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	Nothing & Nowhere	3uNBNKs61M4vsvsIcLzSMf
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	The Last Page	41spPSXolc6AO00zwPwbz7
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	1wGrMK3SvNKw4WI1ZYQs0a	2006-01-01	Winning	1OwzxKsolekAAP6Zu6kaYq
