artist	artistId	album	albumId	date	song	songId
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	Seems So	052ogwexXQEoshxXCZzef7
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	What's The #?	47CnF7hoVovR8aZSvYElqy
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	About Your Fame	2KdT8xrXTyfwu6DseYmdfh
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	Shine a Light	5JYXYLPVba1G57w7hfsQBi
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	Silver Chain	1I941swcyWzFdprmdWvVtL
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	Get There Fine	1ORRfokcJa09FlAtoL9mjF
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	The Silvery Light of a Dream	28NpJtBKARQBvRNx9AFmLs
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	The Silvery Light of a Dream Pt. 2	2ruYo7xLpjWIXzg6DxyJ5M
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	We'll Come to Be	5sTkUpGcthlyRznMnjd82d
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	Tin Pan Alley	0VCeZATHAiT5VJVWHlx0af
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	You Said That Last Night	4mIW0FTIczjk9lvlxdag6e
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	Try to Remember	6C1NCqIIUtTr5gVm5d4AoX
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	Find Our Way	2LC9jindL7Eulq4j5oZOLc
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	Tone Soul Evolution	1zgJ7VckaOrvpQJiyMb6NR	1997	Coda	4oDMB2sdyGyW14wXxQyWRx
