artist	artistId	album	albumId	date	song	songId
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	Strange	27peQQXqMd8GHpFVRsvpoU
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	The Host	6Is7bsftxYoOMcKlPmsmrH
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	In Your Mind	2MCwVP73HtahHEMNCHaHjH
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	Alarmed	07NcOk0Zp9mL3hBrrX1fMr
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	Trimmed and Burning	4Vb4tJOOgV91VzvHrPB2aC
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	Happiness	1cUh2UzYWXU3p9PGQ1ztgv
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	Don't Try	2ATVLNHjK2SlLvGC32gZXt
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	You Are	7eFdhhyZwGcxDTLAFGUWCs
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	Fly Around My Pretty Little Miss	1v4o6msSBY93bZT4ZTUNqi
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Ancient Melodies Of The Future	20wI2vk7eEBkrTHAx4quqP	2001-07-10	The Weather	4c3IKaoUrfP1YeUgojKJsm
