artist	artistId	album	albumId	date	song	songId
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Ha Ha	7et3KRIhOSlsKMI64mrSXJ
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Whiner's Bio	5ntMJCf0bgwCvfGy2T93j5
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Fluke	7rwKWhQNr9bvhRtCLV4I1K
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Open Book	7fr0YkHDP0kevt2dHYsi09
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Middle is Gold	7i50J0Im6PVRDBEPk1G8bh
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	The Kissaway	4Cavh4L7Y5JVBFxLXvpy2o
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Gotta Get A Problem	25nXMKnZgigG3OTVIgeyWw
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Parachutes (Funeral Song)	08PKfwpQe4tRE0zZh1NK3L
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	An Experiment	23q0iiK09St0I4EAngQAZB
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Sound It Off	5X2KxjFFMBbHvgMgcqTRRv
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	I Got This Feelin'	28psmWZKMnioresUQzJmLF
Mates of State	4IELX7NrLBXuw8f51cUZuM	Team Boo	23jthYjXdHul7ArpA6tfpb	2004-09-21	Separate The People	1qaQvSocgorKmqcOjW8b59
