artist	artistId	album	albumId	date	song	songId
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	You'll Sing A Song And I'll Sing A Song	2DWInXM7xbyDk8EmjQkkT1
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Pick A Bale O'Cotton	1pEAD16K67b9qsgmzIxNTB
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Frere Jacques	1ZXanvVJRpWGE9R1hB646z
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	There Came A Girl From France	0GAKS6pe07s2ju6VhNlfgh
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Cluck, Cluck, Red Hen	2NscyeMk3R5chQ0Z6nZrZv
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Boom Boom	3Y3Sh95rmWpSooPFrX6xX5
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Here Sits A Monkey	75tPcBtWKSzuL6sopDZrBO
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	My Way Home	5LZDEFeQtsQkLh0IrG3lkB
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Les Zombis Et Les Loups - Garous	0t3BRBK7NTSTJa2ZK6Rbhv
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Swing Low, Sweet Chariot	4npn7a2c8nybvsKe1ZGgoe
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Anansi	5jVZQFma6xffeqig9Ol60E
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	The Corner Grocery Store	6Hnnq3UysiCwnpjAvYreaI
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Jig Along Home	0aAW6Jox7tDGQ00qf4rVOa
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Popcorn	6K1YJRmYwa0IfuNEY64wsu
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Y U Un Rat - Sur Le Pont D'Avignon	5VD1nLaHWJs0H4bBSkbARo
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Going On A Picnic	1KdLP5FUQElS3s2OncQWnV
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Rock-A-Bye Baby	6dyM2abiskJFFveGOkmBDw
Raffi	7oWSqrgMuIEyH9qp5nu2e5	The Corner Grocery Store	23qPVXlUvPDJidKF7TDNFu	1979-01-01	Goodnight, Irene	50GSnj1aiDvLLYIiPijFJW
