artist	artistId	album	albumId	date	song	songId
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Abide with Me	5bZl3RcyrP8cxdsdXUoqHA
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	You'll Never Walk Alone	5QcqZX8CtarhUGOIkKyrvQ
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Softly as I Leave You	681yNL75qlMjlqitimy3jq
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Amazing Grace	4Ewbq5xLg4C9sZReTzjsl3
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	The Lord Is My Shepherd	3q0txR1X1XW8QIjTJa1qpQ
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Ave Maria	4BUlJEjs3GqFYG3HcNd1hZ
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	"Symphony No. 9 in E Minor ""From the New World"", Op. 95 B. 178"	1GlNC7p6qmOhgsB2snhMOk
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Fields of Gold (Arr. Roger Emerson)	4eclJrQtBiJTkznTKtxe2g
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	My Heart Will Go On	17muP1N8qGHca7OFmqX08n
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Pie Jesu Lloyd Webber	7cZWdkBspUWFLKBSBeQuAs
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	"Variations on an Original Theme for Orchestra, Op. 36 - ""Enigma"" (Arr. Eric Ball)"	5k3MocQFSperuFx4f7wuXa
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	You Raise Me Up	5jixdhV6TN7T1e6h60XgR8
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Wind Beneath My Wings	4zy6rUbONMWIJEzSvuQq7R
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Pie Jesu Faure Requiem	0DlNKKYW10txJPGWJg9kAI
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Herz Und Mund Und Tat Und Leben, Bwv 147	7f9dmLXPLrlKXfAcjKJq22
The Co-Operative Funeralcare Band	0RGefp8LvX74eLgNj2iXWS	Softly as I Leave You - Songs of Solace	2CY5LSSG4c8w7nvJc8w1Sz	2010-05-11	Jerusalem	2tJMOV9cPhGjxuwAo5LJEK
