artist	artistId	album	albumId	date	song	songId
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Death Dream	4RKtugI8uLJ8aF1BrLPVEl
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Get Out	4UjZKgbOBEwb6i6zHupD1B
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	I Wish I Was Sober	6DDnSpWsOo3MuP85fq85HT
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Woke Up Hurting	4LQk1PFSqqG7Yy83p7fatb
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Little Drum	6MULDG2yBJQEYjRkHUj8us
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Still Want To Be Here	3J0LPxNu5vttSeaHItj9Nl
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	An Otherwise Disappointing Life	2k53YqQ4SbWaX4P0nx0hVh
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Break	1lfWoACwUERf6KtQ5mRHiR
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Blood Under The Bridge	2pbRV1bayKfT58XSeqI5Ai
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	400 Bones	36yC3VWsbicWNT3WGXS4ln
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Lump Street	7xkb1Mnvb3zzRgfOiz10We
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Die Like A Rich Boy	5c3y7l9Xu6BFIVf5xRhUrt
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	The Wreck	6xSKExKUBlfRxJdrjpf9lV
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	Wait 'Til The Morning	2UUO1cKnA2h0YEDaEltohO
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Painting Of A Panic Attack (Deluxe)	2I7bN0vjfoFw9di77xAZ4Y	2016-04-08	A Lick Of Paint	27ZyLW3TpxfHqwJLfoVUJt
