artist	artistId	album	albumId	date	song	songId
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	Reprobate's ResumC)	5i4nfxyDHlk68HuXFumk3J
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	In These Woods	2myc9XPWwRcEyOSGGT1SSC
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	Tragic Monsters	1xwPA7NAGLekyk9QFXJQLw
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	We'll Make a Lover of You	4rBbAMqrwwllQXdUTrQOu6
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	Yawn, Yawn, Yawn	3AOKhusXuefMrLFvN3HxXi
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	No Sleeves	4jvhiJrcG7xcvpHsBWBeQa
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	The Sweat Descends	6fsZFJ2JSW66qdiBloc1Ps
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	One, Two, Three	3e6u6FPzqUhNmiz2MeFaBy
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	The Slip	0VQproSbPGUkUuMDaCTy08
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	Obsessed With the Excess	5AhVK211ugB8ubluklGiu2
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	One-Way Widow	26d29ZlS38pKKBdtjC56u5
Les Savy Fav	5DZBnxCYzs32O2bbqK8KNg	Les Savy Fav Live at The Casbah 11/14/2004	2MfjHet8iwSqTfnXA9xTox	2004-11-14	Rome	5fY6coN7PuQJ4qSc1G2cqM
