artist	artistId	album	albumId	date	song	songId
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	The Plan	5nrIEQ6ZmVwt9Pfr3ydvbn
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	Center of the Universe	4lR6ss06VdT8xDlAu2T8VW
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	Carry the Zero	3HMOMdRPywfouYx5B4PvaH
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	Sidewalk	2WGe9JOnt59reYluiLMLbW
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	Bad Light	06ZyuKNXTq0MdW91RNY1Ig
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	Time Trap	30X2iKHGAgQm2GCBxuoG00
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	Else	1SqIUmKbeRyHwgp8BOBIRr
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	You Were Right	1256ozOGDowNo7TNH94xeg
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	Temporarily Blind	5Q4hsDbyZq7t8Yktlmdjap
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	Keep It Like A Secret	2PKZhfPrgMmK5zug2pqdHA	1999-01-22	Broken Chairs	4N0g6GRAFaNJyHGrNy1BFg
