artist	artistId	album	albumId	date	song	songId
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Outside	1qFvrUSaPVCIodrvkOLbsj
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Afternoon In Bed	5SaOVtrKlhexFUCoO78IEi
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Around You Like Snow	4xyGIdtTguNoYzldGbEGcj
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Work It Out	0MuzG9sFysqIkzEgvbrF8z
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Train	109WkZKHtqy7IyKjp3ynLz
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Land O Lakes	7nKnc36Z8JYsIoHUm0ZMUa
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Chain Home Low	4i2V0IHCjfMrmK5SgLVPAa
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Supernova	0YC3JU5YbbFwKwr2veFrD0
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Shoeshine	227GTk1YMYcA0w19DM5HaG
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Crow Song	7y1HSu9imJU9BFXYmpUida
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Smorgasboard	33ma8bgpRSszPR1jBaAbEy
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Knowledge Is Power	7B4uhm3qUQk9iKYobZhs0x
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	It's Happening To You	4NBHr8q3MLuJxohIiOJiOM
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Lost Weekend	24VkfYEg9ulJgQBpl3mauY
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	For The Ride	0CGCKEFQWA3d1w7nWZ74tZ
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Out Of Bounds	0ObiDWgDDA1pzDaT8lnyLZ
The Bats	2YvNi4oPdBgD45gc1UycxW	Couchmaster	2Q0MRcSfStjwxaAzmBmz97	1995-01-01	Down To Me	2YtqTodp7ZeBPjzGHEAvY9
