artist	artistId	album	albumId	date	song	songId
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	We Don't Know How and We Don't Know Why (feat. Mick Jones)	0TXGI9OlalVhGBvbAJnM5j
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	The Sparrow	4c7EkS03cuohukFl48fAxw
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	Giant Baby (feat. Mick Jones)	7DemCTDT2nycuOAkNODzdf
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	Mother Universe	6IUispBrn8mJn21BeSQ1Gf
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	How Many Times	7jEYbxQ55fkEkfCpcXGS68
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	Electric Fire (feat. Mick Jones)	22BEMn6cDIX84a7NiluNNI
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	All for the Life of the City (feat. Mick Jones)	0nq0Dgvrp9Ws4mwDXmenNP
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	Feedaloodum Beedle Dot (feat. Mick Jones)	2BHqh2Cvraeci1UkY6NGme
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	Funeral Parade (feat. Mick Jones)	7i0dipoSVdH08T01sLwpWY
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	Dipped in Steel (feat. Mick Jones)	58dR16BaDG941s7NHBlKrF
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	Mouth of the King (feat. Mick Jones)	4mFZIXL78YyCpPjChdY1oD
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	King's Mouth: Music and Songs	2Q9jvuCYniFhjHDSLWsgj8	2019-04-13	How Can a Head (feat. Mick Jones)	0eHQcZCr5iGDr2nAYw4HcA
