artist	artistId	album	albumId	date	song	songId
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	Our Hell	67GoQMfcnw9KIwJUIAIlXG
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	Doctor Blind	5GUiIG2Rp8Dvt6KMoJWKfj
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	Crowd Surf Off A Cliff	3arW2spdj1AdjkleLGsnpf
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	Detective Daughter	06pgjtXAES4fxq8ZlKMf6V
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	The Lottery	6qDwvXzkzVRhHIcvcurq28
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	The Maid Needs A Maid	1BMA0T0ro3LGP3jUejS7IU
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	Mostly Waving	6TF6XEjgMMBDVvt3duJBY6
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	Reading In Bed	3f4w2oFjN4wQ2bhYIN5zJ0
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	Nothing & Nowhere	4e76YZ47AISqGeMrUTmXvn
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	The Last Page	0Ly5c1m33mZwCX5hKi0acH
Emily Haines & The Soft Skeleton	1b2U0VT1Z4ACqOihBL1fgw	Knives Don't Have Your Back	2SiNU8sGVG5ZfYpidjeZP2	2006	Winning	6MwQ8CazulAAx6c3DWS7rL
