artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	The Birthday Democrats	5WsYfXmatVqfu7ZIFy30ff
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	King 007	2RgSGMu81BBwmQvO8mwr5Y
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Boy W	4QwWQC5enWH2l0H8EkBTwa
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Steppenwolf Mausoleum	6QeslSxmFuXZHtXTKVxnE4
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Cretinous Number Ones	7ysfDt70ajktvF06aZ7ldy
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	They Fall Silent	0fglYRIzfSBT0DI2CU1D74
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Diver Dan	3E04XrY0wqG85I7L2GlGhy
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	How to Murder a Man (In 3 Acts)	1d6056J83i24OUf1DOrJ6u
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Pearly Gates Smoke Machine	0fusIiVb1x3adPmIW9OS11
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Tenth Century	2rKcO1CJtcZITq2sGmUPyz
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	How Do You Spell Heaven	3dt4a0V5vOBTo3dtFlEuwb
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Paper Cutz	1eoWYCsq7o8hzylm8YbK6b
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Low Flying Perfection	7GOi9RyaGKpzpS4kZf0mUT
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Nothing Gets You Real	3b6B3mI2M63qONaZU4Cgne
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	How Do You Spell Heaven	2Svl3ADrMo6Rv3rWA8V87B	2017-08-11	Just to Show You	5ASmVnbMm8PU9iIuRYTEzh
