artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Hardcore UFO's	1WHCuLyhiISWVENR0qXZ51
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Buzzards And Dreadful Crows	207kBEL2brJ2rRnlixCJ8n
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Tractor Rape Chain	4dftKNQqg8kWquNuDd6CDe
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	The Goldheart Mountaintop Queen Directory	4SrE9bJwNC2ldX8rAXsrKE
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Hot Freaks	7Fwnn8npShUzE9HtVp9Y1H
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Smothered In Hugs	0491EjDNDRRwo9mBCsLaAX
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Yours To Keep	0g5vxRuh4tqz8pCHBpGLAq
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Echos Myron	0kSxRxxiI1Vaiispzszvf0
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Gold Star For Robot Boy	5ENm62EyGa0DeLosn87jIy
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Awful Bliss	57TUYBa41jfW56U2U9652l
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Mincer Ray	0PAmuYEy2ZaeZaiW40sntO
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	A Big Fan Of The Pigpen	6HyzpoMkamKkJkl0IwizVv
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Queen Of Cans And Jars	0zz3UqQsWxPLUKVR8iSg6G
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Her Psychology Today	26QO2NzymVItdqedQLHIiu
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Kicker Of Elves	3idaWZXzbVZ6QclVRz9SuE
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Ester's Day	0694ymW8fH9wt0yewC74Ia
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Demons Are Real	3feeZeT89PWE9eonRCrFIO
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	I Am A Scientist	0oN2fJx5t5BzkKQQiojHrr
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	Peep-Hole	4cQJKk52gTO2WN0PvUe1f7
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Bee Thousand	2VQKZAvtL5epxdEOuLVP6t	1994-01-21	You're Not An Airplane	6h5HGHK85AWThsOhbHgJmv
