artist	artistId	album	albumId	date	song	songId
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	Lonely Highway	5W7f6cAO5omUBfJd4giH2C
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	Long Vermont Roads	1KEKPw04MFHpSU3yJHNzbl
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	Born on a Train	2liyzHCv1OyNgfXLV8gOZZ
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	I Have the Moon	1dxe7Y9CqVqJh8ZV7q2wvQ
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	Two Characters in Search of a Country Song	2FDh0xV0aTItqcZqIDevsI
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	Crowd of Drifters	6lyDbzWGbIYDwdgrtXd18K
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	Fear of Trains	1nolxcxRLxAnKZW6T9QYDk
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	When the Open Road Is Closing In	7oujl9w4BAwpjzK7bbOsjy
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	Sunset City	1bsQlhnTUDlvmT159MFPue
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	The Charm of the Highway Strip	2cq9mEApEY5EFb1M7jJblT	1994-04-18	Dust Bowl	5lSxLeh1yKR4KcXjfz7Y6z
