artist	artistId	album	albumId	date	song	songId
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Hljóp	5vzNcMlCoixHcllGZeSznv
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	The Nothing Song	6hlI4XrVW4jfBaNtWI6p9p
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Windbreaks	1LS6LcxNUTTtLu3EA21aqV
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Thousand Mile Stare	6a2QacJfD3RFvkGIiHxXnQ
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Playing Fields	3B9aLGtTYRaFusDf0gMI0C
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Sólarupprás	70To1gXnfAU2vENZNPcdHE
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Going Deep - Moogmonkey Rework Mix	4GvAVU2I8exXQc9S5hf2u2
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Goldfish	6M7KB7R8Aftln6pBkoKA77
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Flotsum & Jetsum	663j1CDgohloyLg0afcciF
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Super Mouflon	23HTdzrAPX5bb8pBzTKMEt
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Going Deep	6y9LoSSjOeXAdfZXGXDMnn
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Fin des Jours	36KOUynh9OkHbAeQcRZWAL
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Three	1ORf3ezY4f7BvgeHZdg3lv
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Sólarupprás - Disco Citizens Remix	04mGylIQou1NVMXrIJyZGS
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Mission Impossible	1Z7t7NzgfMNLSwPa8EoPCj
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Three	7d0EWh2mY5wX2vAJRAEvxv
Chicane	5GxyeQagayzZOg4UwffQlD	Thousand Mile Stare (Deluxe)	2eyKCOjgKLEGQAqCvjHOoF	2012-06-10	Sólarupprás - Instrumental	6jwI0EOYrur3qEzBNetQOi
