artist	artistId	album	albumId	date	song	songId
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Sleigh Ride	5AOs74DmCQ7ufunryKiyQA
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	The Most Wonderful Time Of The Year	52p8icuUaImRcQ4DYgiLts
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	I Got My Love To Keep Me Warm	5nglKcNAb8j8hq3iNHNwir
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Christmas Just Ain't Christmas	0RZLwjRHjgGTvml5GGP4Oz
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	We Wish You The Merriest	7bAKFfjbniaMKGuvKPp7XP
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	A Hand For Mrs. Claus	5GMaaILYpTiAo1SAhvvBKi
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	We Need A Little Christmas	3jRyOnlDmpOdMJ5RQ1t0fH
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	O Holy Night/Ave Maria	6mdQnbitkqSi72d4u78GBN
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Winter Wonderland/Christmas (Baby Please Come Home)	0bPVHSLWgguXJoSrAbJI4e
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	I'll Be Home For Christmas	2K3pX2tjD7cPinf3b1wOSU
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Walker’s 3rd Hanukkah	1beDrbbl3Q6sC993xJBMy1
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Ocho Kandelikas	6YIgAkok2YBMlyheciDhS6
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Christmas Time Is Here	75cezRHphmBkykYu3X3drB
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	At This Table	6shVktdU2kC3QlGK8KViTk
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Seasons Of Love	1lmUWvwkmVw9MFRJ5XBb6w
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Caroling, Caroling	5vWRTwVWPO3izNIoSNWKN1
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Auld Lang Syne - Introduction	6R3LRcXsBvhzfQ3wUJlQFz
Idina Menzel	73Np75Wv2tju61Eo9Zw4IR	Christmas: A Season Of Love	2iaVsgsBIrCnxTksOl0Muz	2019-10-18	Auld Lang Syne	1BpEy8YaQ09KIZmJ2X4k2Z
