artist	artistId	album	albumId	date	song	songId
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	The Life	4AjM3GnhGVJVwBX9zpSV5J
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	ARAWA	5qK23PnnUpO9rYQqtzzIJV
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	Breathless	6bgUlpf4HVpuTdo5LuBTov
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	Real Ones	74YzB6FWvySu7hswg17BbZ
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	On My Own	26rf0Z4OsfxzAC2fg9hYu8
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	Higher	6TundFjUfb1WbX6XkDHl9v
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	thirteen	6mK5Jh0YIIPxiiUVKHLNNu
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	Evergreen 143	3pNYy5YorVBDgLx3J4IVdo
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	Now Now	7G4dqCEs8lhpQbcrnYA8fd
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	Through the same Eyes	4dwVJbS6XOefyfYzqeIFTO
Electric Youth	45YbCFM0an4hsEXMdQ4k3b	Memory Emotion	2mkkAsxvR3XMG9ReQKR3RE	2019-08-09	Memory Emotion	392junXOvCFdd2jdCiutc4
