artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Laundry and Lasers	0MzGUkbEY1drPgQle82hES
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	The Head	4Og9ZZbcmP0lHKMDxABMwl
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Doughnut for a Snowman	2puiFkaVV1RPJ3xnvKgLwe
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Spiderfighter	20Hd6VQ47XgxDlyjo99450
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Hang Mr. Kite	5FzbDY9djPMYgBvltYFMs6
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	God Loves Us	4LdSp2qwTgczohElAr8PCc
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	The Unsinkable Fats Domino	2EJtw0AjuECenEdfLXTcOM
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Who Invented the Sun	2gWjZBuVyz8Dpe1qfNs525
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	The Big Hat and Toy Show	0THSL81vhnlCYDZBDgwlm7
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Imperial Racehorsing	7nl895gnyjgHdHPMd4Lbqm
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	How I Met My Mother	3zXZtZwiDD4rNcq90Ff40E
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Waves	3aMPjVjkArKDCs73yfKDmi
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	My Europa	4yCemhzsolZiK6qMqFRrQC
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Chocolate Boy	5OHfWNRJSzqYUZ1ywLXBeD
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	The Things That Never Need	3S2qu7aNzdz9U4j4O9CEbR
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Either Nelson	10tWSfso0ohBFcag2LKisY
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Cyclone Utilities (Remember Your Birthday)	55W6QqqfP3LEx3qMvm0wlU
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Old Bones	7oE1iRpIEDdWVW40I1frzY
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	Go Rolling Home	0XodvbXr9ZDLqi6Zfs4cAz
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	The Room Taking Shape	0GQ65qciMXhX02rNgXLnFF
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Let's Go Eat The Factory	2pBS6TXHJpEs7UJiGC6iso	2012-01-17	We Won't Apologize for the Human Race	0gUmrKG2KsXgTdrCjyvLOG
