artist	artistId	album	albumId	date	song	songId
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Brill Bruisers	0g6azQIxHsHFBoDD7BI3jz
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Champions Of Red Wine	7u0tAdK3iCBnDd68XLGzK3
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Fantasy Fools	5FyvX8YGj3BYROAzKtjpOq
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	War on the East Coast	5IFT828rayO2vEwYlCp6Tu
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Backstairs	6hcY4cGGwfuveTreAXfTsT
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Marching Orders	1qA4KEgrrN0mHbAwEArtcJ
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Another Drug Deal of the Heart	7lq4GMrpR4dTXRgrPqxzoy
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Born With a Sound	21MX75LynfszIzrwSK70Ad
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Wide Eyes	6aHlRLDcTXxaqKcmyux1lr
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Dancehall Domine	0eZsHsnRedBr4G09g4Q5IM
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Spidyr	6ek7uMrDdPc4Zce2OyjKTa
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	Hi-Rise	5yajyhdaO4FbaWriYk6MbC
The New Pornographers	4mO4aGO6u29UyR6XLZR9XW	Brill Bruisers	2sNidN9oZULfH7gZfoPZ9a	2014-08-25	You Tell Me Where	5NJp1YaJyKidoPXBBrLs7F
