artist	artistId	album	albumId	date	song	songId
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Me And You	5udCGGhyit5Vnys9wHVEle
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Dare Tonight	2eJDreSFwZDkmDGdOtEJbR
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Take Back The Rain	1iMlPj9VdHabOpkNCbJZ6K
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Out Of My Head	4EtEzY4jUJuL53gmY0bQ4F
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	In Stereo	2UwMUUrffMM6fn0QrJifN3
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Give Me Your Love	4ZOkFYaQ7KM1es3fHf2keK
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Alone	2uC7JfbzyGJRZT0rQYFfdo
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Sun In Your Eyes	7pEzF6AzKHSIYM0lYHSuoH
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Young Lover	0qzSdOJp41W9GRMStuO92g
Gateway Drugs	4yZ1I5mV8oGX5rfSuygqbv	Dare Tonight	2wHqFtWeyAaFk1u19im05m	2015-02-19	Love In The Dark	1XQaRMkHtIyFBrW4g4KiIW
