artist	artistId	album	albumId	date	song	songId
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	The Household Song	3Lim2WXS9u4AzBp4agVZYP
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Mitte Bitte	5wE1GD8YWAhgOMLW1xnJMQ
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Class War	1G4sXS6Fl1y1AbRgpeZm7S
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Culture Vulture, Pt. II	7guheBdSZRsFakbGHASzv3
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Culture Vulture, Pt. III	6SSXsHBy5eC0Khu6kqaFQ9
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Ten Thousand Years	3B2XXtHlZNspFm4Afga7x8
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	History Will Outlive Us	7kF1mYtBXpFtEHOEj5xeBh
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Madalyn Albrights Answer	2dHTrZMj6vYqeQ8p5f9sDs
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Is Bigger Better	7pAAToW4HE9YF1IR47BKMi
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Fuzzy Nipple	0lDpBSPz2p5fv39yFmd9vi
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Wax My Anus	6pX3N8stXTeO3JRgVr158n
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	Hand In My Pocket	2ehbzkN2ZLLt5jPPqcXsca
Chicks On Speed	4EySud7Ww0GNvkwhRYZHLV	Press the Spacebar	2wZWAm2G6sYM6IXhr9SMIz	2004-11-30	My Pony	7e8gr5Ojpp5HqqmscPKYOb
