artist	artistId	album	albumId	date	song	songId
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Ohm	3qG5TkcvkvmdkxJFznQGly
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Is That Enough	6coIZl4kK9giKlmORGhl6U
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Well You Better	2Dofk8N8Noe2rTVC7xSlBa
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Paddle Forward	7dN1D7JHqR7LnXqyb2BreJ
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Stupid Things	4S4gHZwsIWR5nZtLJxCQPb
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	I'll Be Around	759PfqdQwquA5cQx6l2O35
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Cornelia and Jane	3EqNXFgoTv0TbTV3e4X5er
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Two Trains	1nOfQxf0YIzXYgrOY7a0dg
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	The Point of It	1E5TAEmkvRRFV66Q53ruY4
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Before We Run	0YFuQ4a1BAVWPD64pnEJnh
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Ohm (live 1)	3dU0fslaeixtCDAOrbgZw3
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Two Trains (demo)	2F01WKGLMJzTgAHfNH2eI4
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Note to Self	5pmhDrUDJob1SvuIEMxiin
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Move to California	4zh4b2wQWeWGQdZg9xHRqo
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Is That Enough (live at NPR music)	2CH1aiYDll3XLJCtEGgocd
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Cornelia and Jane (instrumental)	3WqCRSw8Yg71NIo2HVJRcZ
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	A Day in the Life of a Tree	1TD2tzeXfQbt8bHeAjetiu
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Super Kiwi	3fYTeE1x9Jrw0OugxQyTZn
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Stupid Things (EYƎ Remix)	3c49mdMOkgzj4yTTHkIWov
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	I Saw the Light	5ry1K3SN9krby7celVp7da
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Stupid Things (instrumental)	1go5nL2HQQQb2UGzj0ac0l
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Ohm (live 2)	4mj8tbDAENmHcxj4Po4SRV
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Oriole 5	3huySxdA8fG7OsYzpLfu5U
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	Fade	32kBV5WyVtx8HaI8CbgIGY	2013-11-18	Untitled	7bdpe9kZZUlrb1Uv9oW9Hi
