artist	artistId	album	albumId	date	song	songId
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	Now, Now	0lf5rjxVkFoHCKXGEcxzII
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	Jesus Saves, I Spend	04qxUwz5hEe3LsYD1UJNeB
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	Your Lips Are Red	4mwef5mpywLgMsKtSIGH5v
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	Marry Me	14e5CAnrtgBFjPMoG3yFUy
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	Paris Is Burning	7dNR3keIAiMJhwycS2xAbx
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	All My Stars Aligned	25oHMivnP1aBgZFkXcuqfm
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	The Apocalypse Song	4cZN5WRNU6IeyARehScVHq
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	We Put A Pearl In The Ground	5YcwtATdTvaSP6AFKrvGIz
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	Landmines	7iyTYN5lTNQkERvqVcrS2r
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	Human Racing	2cOoXhHAgwAvfcVmMJTaFG
St. Vincent	7bcbShaqKdcyjnmv4Ix8j6	Marry Me	338T7GIYUEuyeeHeZnSJta	2007-07-10	What Me Worry	5KMbp1ApOqTQxAfEkOWsT8
