artist	artistId	album	albumId	date	song	songId
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 1 in G Major, BWV. 1007: I. Prélude (Moderato)	7FLwzBmbpjwwPYhmjk2C0B
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 1 in G Major, BWV. 1007: II. Allemande (Molto moderato)	7klyhzPRmNpem5Efgex8fZ
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 1 in G Major, BWV. 1007: III. Courante (Allegro non troppo)	2qlxhEveQhSqGVNAaDeyPf
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 1 in G Major, BWV. 1007: IV. Sarabande (Lento)	1Md0FhEctCcn83wI3oX9BS
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 1 in G Major, BWV. 1007: V-VI. Menuett I - Menuett II	5FcOTtMzoF37tcDIxyIrvt
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 1 in G Major, BWV. 1007: VII. Gigue (Vivace)	1y5eaCql2fNqzcZRE8FNUR
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 2 in D Minor, BWV. 1008: I. Prélude	5nj5sJNh3z6gBqrbMydasu
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 2 in D Minor, BWV. 1008: II. Allemande	0WA7kgW7JT2GkZzB2mGce9
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 2 in D Minor, BWV. 1008: III. Courante	1lsXrmgBtvv5w8JQI50XW0
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 2 in D Minor, BWV. 1008: IV. Sarabande	20V0pBHodw2y6voANStQir
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 2 in D Minor, BWV. 1008: V-VI. Menuett I - Menuett II	6lK8irLCm0GmPhweYAkSvQ
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 2 in D Minor, BWV. 1008: VII. Gigue	5WyMskgSj4nRKKp4AiXLQU
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 3 in C Major, BWV. 1009: I. Prélude	0WjSUMoQifqSWRwUGbS4HY
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 3 in C Major, BWV. 1009: II. Allemande	7dQEkQlXb9XUkcMTLyqoFM
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 3 in C Major, BWV. 1009: III. Courante	37zLiOpJlQsXj0MZ9WByMT
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 3 in C Major, BWV. 1009: V-VI. Bourrée I - Bourrée II	6XJLtsV1argf3NDfkIzYPP
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 3 in C Major, BWV. 1009: VII. Gigue	4z1Qj2nNP57xsSMZENCRir
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 4 in E-Flat Major, BWV. 1010: I. Prélude (allegro maestoso)	6ljuMtsPWfY3LdWSV1pEEj
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 4 in E-Flat Major, BWV. 1010: II. Allemande (Allegro moderato)	1fC7quAWtjRSzxghm9s2qz
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 4 in E-Flat Major, BWV. 1010: III. Courante (Allegro non troppo)	01hXVnNdurc5zykhKeBWsW
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 4 in E-Flat Major, BWV. 1010: IV. Sarabande (Lento)	223U88gKuzI9LUJgCOq0jb
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 4 in E-Flat Major, BWV. 1010: V-VI. Bourrée I - Bourrée II	5K8kzRQb8EpRzSmumJT569
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 4 in E-Flat Major, BWV. 1010: VII. Gigue (Vivace)	0tA44OUsjSeLUaCwaOtbsA
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 5 in C Minor, BWV. 1011: I. Prélude (Adagio - Allegro moderato)	7hdrputp7WCasrDnBpx4NI
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 5 in C Minor, BWV. 1011: II. Allemande (Molto moderato)	2x7Cke0JmYWjQpnfl29D16
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 5 in C Minor, BWV. 1011: III. Courante (Allegro non troppo)	0dmPIgyJydGGF6x1qtxmvA
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 5 in C Minor, BWV. 1011: IV. Sarabande (Lento)	63aMeLB0RvLD5fFkNHDDdy
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 5 in C Minor, BWV. 1011: V. Gavotte I & II	5KYMXqajKVz0JLvOAJDoiH
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Truls Mørk Plays Bach	37HnGrSUNkuNaDARNvFatm	2019-09-07	Cello Suite No. 5 in C Minor, BWV. 1011: VII. Gigue (Allegretto)	6JvCT7CWdWKb2FFLJHlrJj
