artist	artistId	album	albumId	date	song	songId
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	Derezzed - Remixed by The Glitch Mob	4lteJuSjb9Jt9W1W7PIU2U
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	Fall - Remixed by M83 VS Big Black Delta	66uVqkmHAc0MBUzoPhIypN
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	The Grid - Remixed by The Crystal Method	4OEnpg5ubhg6OQ4M2ZjtsL
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	Adagio for TRON - Remixed by Teddybears	2EyK6JBWqftJlxAuqd0Dsq
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	The Son of Flynn - Remixed by Ki:Theory	1TT6gRprLQ5vSWgoWpyKfR
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	C.L.U. - Remixed by Paul Oakenfold	6hEvTmmvby9ZTkSdfmPW3m
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	The Son of Flynn - Remixed by Moby	03uOJUuuTgaFFI1Efal1no
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	End of Line - Remixed by Boys Noize	3YYnfKM02WkygOwg6ozfrL
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	Rinzler - Remixed by Kaskade	2jFLd9OdNcLsblpv4fDTRn
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	Encom Part 2 - Remixed by Com Truise	3SL3UavpjRKNMM9UVlE9Bx
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	End of Line - Remixed by Photek	2UBYw2qf9PkvoKQ610ocft
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	Arena - Remixed by The Japanese Popstars	7irNlzUSPNgCDtEyQuS3lm
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	Derezzed - Remixed by Avicii	1rn6JIHBuBZiwvA57jeoOB
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	Solar Sailer - Remixed by Pretty Lights	4OgB6TRmIGBRT4NoFxxIQd
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	TRON: Legacy Reconfigured	382ObEPsp2rxGrnsizN5TX	2011-01-01	TRON Legacy (End Titles) - Remixed by Sander Kleinenberg	1Nv1h7ANN9E4rAjLP4OfgA
