artist	artistId	album	albumId	date	song	songId
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	No Ground	0dJomLRIRlTBuPl131Yl5j
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	I Won't Be Your Generator	3IYcWNhLwuU0iQBPpLVTB1
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	C'mon, Stimmung	1r73rl1loVvShurx8cyiF8
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	Defector/ed	2QJhuhwP4ks7MkXDLLRexb
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	An Impression	3TUvJ5i16waYfPU3C7i8PM
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	Lock Box	5hM9wmnKKGsgq5OS7jCqjb
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	Running From A-Go-Go	7FpdSIMGeLK9fmX4lgR02P
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	My Hands, Birch and Steel	5O9AGISjVk7SjWXVoxuSTZ
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	Circling With Dizzy	62LvKrgS6AjyEqx4ROJ3m7
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	A Ceiling Dreams of A Floor	0dWkxHUdcyoMLRLDWfOTCC
No Age	72acCeElLYGL9nBHcZzX1h	An Object	386lKRZJHLPFvYI2GQWtpY	2013-08-20	Commerce, Comment, Commence	1cv8LykWX1I9F1QEjkLmxK
