artist	artistId	album	albumId	date	song	songId
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Opening	2Rw8XWldvdRicSOprpm1jy
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Time To Die	6VuCBiMrmVZjO3GMZFtMiS
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Don't Be A Body	6SgjgcOJDjHWITFSJ1ah58
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	That Night	3DhOHLSm3XTOV6dWAMJ6i0
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Real Bad Job	5ZFYwjOaGxkTpgmbwjaRm5
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Forever And Ever And Ever	62XVHyi0XK1rHFwMT0OS6z
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Maniac	2XoPW245JJCjE3tufGyU4P
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Just Wait Til Next Year	7uTG1u7UjDRZe0wEcDR2Xj
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	I'm Only Human	2xSaSymM6AAf6jro8DxvKN
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Less Talk More Action	0VM7xTaZWCzUINMyCCgSVo
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Through The Skies For You	2nPI1pCkkM5dCgp5c2USAA
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Blowing In The Mind	41maymqDXL28GnZamkJ0GS
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	Of North Of North Stars	5DoIwlmTQuseIPWR6FyUZ9
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	It Takes Time	1DgKC7wGTmnr6Q6kZxrEhG
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	The Peace That Earth Cannot Give	4VVdq4wFHVWL6fKmgjxhfQ
John Maus	4R073T3AVJKqAsbzLmLW9u	Songs	38Pn3II5dAzsQqH1R4OuoC	2006-03-20	And Heaven Turned To Her Weeping	0YTopC5RVydOZyK7XST1iP
