artist	artistId	album	albumId	date	song	songId
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Be Above It	2Gl1Qdx5Px5kVYe0PQoGI0
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Endors Toi	0YuePEX4KyfLIPMdNLPwgQ
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Apocalypse Dreams	7qU7vhCPKhkDiJYGoboISc
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Mind Mischief	6ewQE1dNPv9qqlnB1CxrvM
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Music To Walk Home By	0pJTrMWCiR0TuJ5FApIqrz
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Why Won't They Talk To Me?	6IM45SqAURH6PrvziDs1RQ
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Feels Like We Only Go Backwards	0LtOwyZoSNZKJWHqjzADpW
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Keep On Lying	2UYHP0RQqPFvue0Ygs5Amm
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Elephant	6qZjm61s6u8Ead9sWxCDro
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	She Just Won't Believe Me	4Klyx5dYqZV9YefSecDwDv
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Nothing That Has Happened So Far Has Been Anything We Could Control	33JMMgxQKL3zJsZeMNC3gR
Tame Impala	5INjqkS1o8h1imAzPqGZBb	Lonerism	3C2MFZ2iHotUQOSBzdSvM7	2012-01-01	Sun's Coming Up	7Jk2pg4g0c5rz5AfkEGMRp
