artist	artistId	album	albumId	date	song	songId
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Harlot	2lyCf011dfY90nASasmGTs
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Walk With Me	5uum4myZWC9M7RLc4aL3yH
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Analog City	2hjnaka7d3PN5YIpi5qpe8
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Pray For A Star	1JNGSA1qNVWhhYfCQy5UgX
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Voicemail	46JJIYcyQnvd11Xg2wQHUv
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Madame Hollywood	0nlKdW660sF14hleQgyxgL
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Silver Screen (Shower Scene)	65EBIxct6KqP1Tm5jrOzex
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Control Freaq	7GlVy9nLE7N4LAOOT0MiSR
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	What Does It Feel Like?	6YjTpkfl7Zic2PrESoqC1h
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Happy Hour	7Bsd6aDZA0ImcD9w7h6BOc
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Thee Enter View	6SPRgUSUUGkwqQv1E9tVB3
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Glitz Rock	5vu8n8MB3P2hoY19SYMn9o
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Sequel2Sub	3NiPOaU4oAfEvE2F97ytcX
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Magic Fly	66KPohwxtqNaaO2eWwZcdQ
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	She Lives	0zGGnaaPVhdX2mIZIs4eZk
Felix Da Housecat	4rC8J4M4aOqsQSCP4yoyJI	Kittenz And Thee Glitz	3KuCjpjClMiEVZOK3N5yhR	2001	Runaway Dreamer	6q51Wg5bBcMBDTXV2csKS3
