artist	artistId	album	albumId	date	song	songId
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Return To Hot Chicken	0IciIXnpjOymXbUozDSMTT
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Moby Octopad	29rx2LiCOpZ6PYFc8l4M3z
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Sugarcube	3uD0MyPsS8HsWfzyw0EAQ3
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Damage	5KxU3upuFQW3MVPhs6pE2F
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Deeper Into Movies	2l8vspflBOmVf67St6sZ5N
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Shadows	4flXJxu0RsHCWUPzooAdjg
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Stockholm Syndrome	2BtG634C7ETzvKWWaLHWHV
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Autumn Sweater	4R7kumtHnf5SsKyPYrVO5r
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Little Honda	6GVhBryYX0XVLj7o0cZudx
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Green Arrow	0jgsq6l1yMZIlJX4AFXAgA
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	One PM Again	1r8PtoHnru1m7yU2isQhAx
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	The Lie and How We Told It	6FP5lgnLUMCFkJ7TG4aPFr
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Center of Gravity	6OGjWY39HlMdrF5bNeikkG
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	Spec Bebop	68MAhp8DYPyAE5mQkM6U9v
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	We're An American Band	6dporgDSehgHIWcYLoXoS0
Yo La Tengo	5hAhrnb0Ch4ODwWu4tsbpi	I Can Hear The Heart Beating As One	3NFNNMIWnByvVPvCf7LsRU	1997-04-22	My Little Corner of the World	0Rr1IrRiPyCurxicOXwBhz
