artist	artistId	album	albumId	date	song	songId
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	The Mending of the Gown	3nfBkWUA8Y6ogy0z6s7NJb
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	Magic Vs. Midas	00BLGRfduTqiJ2OySZSKni
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	Up On Your Leopard, Upon the End of Your Feral Days	576zXiylYlE9iuVPKBJ3Sz
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	The Courtesan Has Sung	3UUxJFZXvg8vS5A20gbhlf
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	Winged/Wicked Things	4orUC472eRYVFEjNyfziFV
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	Colt Stands Up, Grows Horns	1iZKRGiqrSAuokLYW3I2Ry
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	Stallion	7gC91phHv8bxSb55QXtMiV
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	For The Pier (And Dead Shimmering)	5qgnjABlHZD3EY35GMXdGR
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	The Taming of the Hands That Came Back to Life	32cAMzSlbOCeM9RbiuMNF8
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	Setting Vs. Rising	1vzr26xx2gpidwOSAR6jQk
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	Trumpet, Trumpet, Toot! Toot!	0jew8YJxxvEfRF5PSMjivc
Sunset Rubdown	4kmq4NmMAD2EB24v6Il3qr	Random Spirit Lover	3WthBK8Thl7kvtpnS5jLFm	2007-10-09	Child-Heart Losers	3QyrKkNB0vzyeHs6yew368
