artist	artistId	album	albumId	date	song	songId
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	North Star (2008)	4sJjursE9FbcwbJ09O1t1z
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	The Law (2003)	27HP3mi9eTLPIaIVUquLEq
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	Castles in the Grave (2010)	4tcJSwBlewt6DLbQK51KJm
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	Angel of the Night (2010)	4hSov4eYmLbpwpyBFaplhV
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	Mental Breakdown (2004)	0NYT4LKNxOGkYVCdATtmdq
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	Bennington (2007)	2PG26cmJdlT9xNAhdiHaaJ
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	Big Dumb Man (2003)	5gfp5531A8sEInPlsZxZOp
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	No Title (Molly) [2008]	4Fb2XNQNDpcrnJxa595wJB
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	Lost (2003)	5JbpbnBDGXvOnkWPIwkLWX
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	All Aboard (2007)	0O06MFqXQTmyWcM1xsYSWZ
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	This is the Beat (2005)	2QJYbNmExmtoxgPLCBSlSZ
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	My Hatred is Magnificent (2008)	2GbIQqQyS1x1AGc6AmAWiP
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	The Fear (2003)	448Hus5upkYw466sUQqN5s
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	Fish with Broken Dreams (1999)	0hnF3RV8dfggc1dv6yJDKt
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	Rock the Bone (2008)	2insvLP7E6JY2258l2S0pO
John Maus	4R073T3AVJKqAsbzLmLW9u	A Collection of Rarities and Previously Unreleased Material	3f7Aco3znOBzGY9DfEk9wi	2012-07-17	I Don't Eat Human Beings (2008)	7IFKNHDbIHuVYwdMCMrDC2
