artist	artistId	album	albumId	date	song	songId
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Jeremy Wheatley Radio Edit	0hAIZrEjitXfgvoYrGrYTw
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot	61VAGE9lhRjwEgPgojHhjW
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Kris Menace Remix	7ecsL4DZh0EhSde2sJR1uV
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Kris Menace Re-Interpretation	0hlybZWsqw7vWll6hpMHCD
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Spencer & Hill Remix	2XRF2r3fUoqMZxGfY9XvbL
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Spencer & Hill Instrumental	5EhQ2EQywU3sE8HofCPASS
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Spencer & Hill Radio Edit	2OdcWzexdjXkQwNhZjDozf
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Joakim Remix	19iE7zHRhzg9CjaC8kvyuQ
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Joakim Instrumental	570jsmloWTXVyFSRprg77q
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Chateau Marmont Remix	1M7kMeXyqkX2xnwoufsIGl
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Ocelot Remix	4nuQO5cY40yrOn3tYyoHrG
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	The Girl and the Robot - Jean Elan Remix	57t7BwADZ10ycHRiVIAA8Y
Röyksopp	5nPOO9iTcrs9k6yFffPxjH	The Girl And The Robot	3j9uZWz5cXmabLTJxkgkp1	2009-06-12	Suite for a Robotic Girl - A Classic Re-Interpretation of the Girl and the Robot by Davide Rossi	7i7YMBTsnvQyhbC09V0xoE
