artist	artistId	album	albumId	date	song	songId
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Wir danken dir, Gott, wir danken dir, BWV 29: No. 1, Sinfonia (Transcr. T. Heywood for Pipe Organ)	1WC6E6T4zJ5a4JkFmhW8uM
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Harpsichord Concerto in F Minor, BWV 1056: II. Largo (Transcr. T. Heywood for Pipe Organ)	2prXh8HKd7wUg0D5L411Ff
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Violin Partita in E Major, BWV 1006: III. Gavotte en rondeau (Transcr. T. Heywood for Pipe Organ)	4VSYI2rYKrE97MqD28e40M
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Flute Sonata in E-Flat Major, H. 545: II. Siciliano (Attrib. J.S. Bach) [Transcr. W.T. Best for Pipe Organ]	6z7Sv2Hi3D4v5ys4iXte71
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Keyboard Concerto in D Major, BWV 972 (After Vivaldi's RV 230) [Transcr. T. Heywood for Pipe Organ]: I. —	3FpJYvbAzwbhpCLwpY8v8z
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Keyboard Concerto in D Major, BWV 972 (After Vivaldi's RV 230) [Transcr. T. Heywood for Pipe Organ]: II. Larghetto	3z1rjOUALqqcpxC7te16yI
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Keyboard Concerto in D Major, BWV 972 (After Vivaldi's RV 230): III. Allegro	6VOZdKk68uqxDSO0Kl9a3g
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Matthäuspassion, BWV 244: No. 47, Erbarme dich (Transcr. T. Heywood for Pipe Organ)	0TKUbQSsGytDl2H5H8NjU7
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Vereinigte Zwietracht der wechselnden Saiten, BWV 207: No. 10, Kortte lebe, Kortte blühe (Transcr. T. Heywood for Pipe Organ)	71qwpubbflMSMOE1wiVXmT
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Violin Partita in B Minor, BWV 1002: VII. Tempo di bourrée (Transcr. T. Heywood for Pipe Organ)	5FZVmnnpJkzKdTDogk1BgX
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Italienisches Konzert, BWV 971: I. — (Transcr. T. Heywood for Pipe Organ)	5iLFHzy1HDSOGHGCh2fhXB
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Harpischord Partita in B-Flat Major, BWV 825 (Transcr. T. Heywood for Pipe Organ): I. Prelude	2oYp2mlvueeCrxzO7XbKTo
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Harpsichord Partita in B-Flat Major, BWV 825 (Transcr. T. Heywood for Pipe Organ): V. Minuets I & II	2crRcLdvyGYw6rzk43geOP
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Harpsichord Partita in B-Flat Major, BWV 825 (Transcr. T. Heywood for Pipe Organ): VI. Gigue	1rfbm1i9n167AjemqOLqBi
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Violin Concerto in E Major, BWV 1042: III. Allegro assai (Transcr. T. Heywood for Pipe Organ)	5ez5XrkCZJEfoi2ypd6DKM
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Orchestral Suite No. 3 in D Major, BWV 1068 (Transcr. T. Heywood for Pipe Organ): III. Gavottes I & II	7GnkKx8rqnLiJ2kknwBJOB
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Orchestral Suite No. 3 in D Major, BWV 1068 (Transcr. T. Heywood for Pipe Organ): II. Air	3SmCdvYGHSE4BcNMyi9QZC
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	Orchestral Suite No. 3 in D Major, BWV 1068 (Transcr. T. Heywood for Pipe Organ): V. Gigue	0pRngJIRvVRM8GceVj8wUZ
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Spectacularly Bach	3jGGAHigzfcjNkNxxhEC59	2019-08-16	"Fugue in G Minor, BWV 578 ""Little Fugue"""	0i4y3dUXpIqerMGTTReQBI
