artist	artistId	album	albumId	date	song	songId
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Goin' Against Your Mind	1rxz8AseGxCsYQDHyg4scv
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Traces	6EeVezzpmDrpwjI35Z2WRM
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Liar	5EBDvc4cX8tqalRFGRwm7A
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Saturday	3h1Ue0hIgBOpTEZ4NHkFow
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Wherever You Go	3ND3bJwlm6jn55OuHXQ2lc
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Conventional Wisdom	0pIwZXASU355a9QWM5vjNm
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Gone	0rCwu9LNcnPNt4H088fqlV
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Mess with Time	52UQWrmViw8XwGz7I5Nzpp
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	Just a Habit	1JvYTg18R90GZ5wXOfNn1U
Built To Spill	3kbBWco9PZ5eSQsNScwG6U	You In Reverse (U.S. Version)	3jKdxSwYf8UkDhIOIXbwku	2006-04-10	The Wait	4Urru4vPJ5nclJBzdcozk2
