artist	artistId	album	albumId	date	song	songId
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	The Modern Leper	7o02NJozA5EiwxzipZzauT
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	I Feel Better	1RMY1HXKyzWMhqw9eEULSA
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Good Arms vs. Bad Arms	4kJ0N8wLWLisUt9BRniJWr
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Fast Blood	1ga7BBqfvF4SDpg1OevvJ8
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Old Old Fashioned	3A0ZYIqoyYQlh9NSiyyikt
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	The Twist	5d6t1CPTKcCMOvcuQ8rYpd
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Bright Pink Bookmark	5zQ1bviLR1gjHv6AaqvZJk
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Head Rolls Off	55uq53acIJVpDlw8ga0Txq
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	My Backwards Walk	1qcol24LVLLR5jxMGiDpJa
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Keep Yourself Warm	65iTgKfU2HZeQPTb6n9lX4
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Extrasupervery	3XJB5ee1pbZAobNgg9QIvm
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Poke	6GYYgWmthvNz4QSSGl3hQD
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Floating In The Forth	3d2D4YhGYbnY8cILal98dJ
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	Who'd You Kill Now?	5r4em8obZo9CWW4k6md06F
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	The Modern Leper	42A6ljL7QSLD4WkXaWjMMV
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	The Twist	5decYApYkBW8GIY1FnkFLw
Frightened Rabbit	6fVcDUckTwxqg56qNsEvUr	Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'	3yfQOuiHChMEqk0SrS5Smr	2019-07-12	My Backwards Walk	6j8eqYb6XDMpCH46aCr8ca
