artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Building a Castle	2DgURICeYO0k0G8phGqyWG
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Tired of Knocking	2XB1BhjiAL4V7BmzkPAWaO
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Together/Apart	411SeyU5SQCU0YVf3YMJK4
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Away with Driver	1btKr1EZXZwLIPBG5soSCW
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Trash Truck	0RdX2PY2kwq9IBPUxo2Cls
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Dropping the Bomb	74K5obJ3quxHW0dFUtGl18
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	What’s So Safe About You?	3zjvhclAFNbecBoVdbMN9S
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Troppers in the Town	6l9LPRz7jo1ae1P1cK9VuW
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Gas	07wyolx9NHDm2N5RtIldXb
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Watchin’ ’Em Diggin’ Up The Road	33U9B4ywFsjbqVjsaVihsg
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Coastal Town	7DfJrmbkWK1cdjXomjeEmQ
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Escape from Kama Loka	7a8M8puYqCOpczO1rcQLL9
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	The Annex	5RbpbIESekZnsZU2356Xz8
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Green Ivory Cross	0G8aNUF9uuyhbj3OxpORA7
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Janet Wait	3r5wj0C3GEubz6m7GIv9A1
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Independent Productions	5e9QuhldiDq2fMylKe1mg6
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Thee White Flower	7rpHRwcoIcARE6V7exM62F
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Juggernaut vs. Monolith	6xQGLKArwjmWsXkLBXTkrF
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Feels Good	584vVmHg5YDGNrOfoE0yvc
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Candy Machine	5i0CQ0btz2XpQ6hJOPEoru
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Air and Also a World	4qxJrmAgszEdViy20PVYkI
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Back to the Navy	6B9QwogsmawU2VCPc04pji
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Speak Like Men	4yS4GizwHOSaCewIbV3TCE
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Hi, I’m Kelsey	6MNK2Ukc5p3S9clLBHceVy
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	No Trash Allowed	1ofETEzQKVZSrtKw5splhg
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Suitcase 3: Up We Go Now	42HqPg1qswHSLyVUgPtcDj	2009-11-03	Raphael Muzak	1wkhx0P0GONkNFMyHkxFG5
