artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	"""Wished I Was A Giant"""	2JMFwEonVnpMVgvSlhJhRI
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	#2 In The Model Home Series	4hwNmFw6m12FbrmOdZkED3
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Expecting Brainchild	1fDkZtgvjp2j0nCLefnfNM
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Superior Sector Janitor X	5nKWbSW5P9TPGGT3txmWAN
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Donkey School	3Cj5Z3dohFndRWaC9RhTOm
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Dusted	2oAjMmQ0UeBCSBRTd7S0Vw
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Marchers In Orange	27ssphLpHI1dVFWsc9CK9O
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Sot	4u9s9ekZnVlLs1TxpXlr2H
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	World Of Fun	4hmRc0SgaIEiqVHca2Su2F
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Jar Of Cardinals	0IeyhN6CEFZMlErnTHOho3
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Unstable Journey	7wLp3wzfGnUlFKPk7UkYZK
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	E-5	6rmo64kbk6LhoyNZArgROB
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Cool Off Kid Kilowatt	2H105ptRGLDZranc4HDfDL
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Gleemer	7yoRasy4w55CFWXrqNDtm2
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Wondering Boy Poet	2ySEP7LxRVTKGoPPZO2oc8
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	What About It?	5T0dayhrGs41liZLszZGWo
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Perhaps Now The Vultures	0HbQYwICGW1F1R7TC26L0K
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Vampire On Titus	42fJt0Wlvbj9ZKQeHOzg09	1993	Non - Absorbing	2gOX1o6ihLn00V7xkdekvY
