artist	artistId	album	albumId	date	song	songId
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Rise And Shine	2m60SLfPC1ewqaE01e8ohk
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Walk, Walk, Walk	0EKmzeEg5yAsWEMcbDm3wX
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Thumbelina	7c5kvPDAlyyWzwYUVp3pnI
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Wheels On The Bus	1IoEITHkdiep6Slg3Hti0h
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Daniel	3yAG5k6eZIpw3ByICHttST
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Five Little Ducks	0BH0GiMvBIIjY9omG5RMxJ
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	He's Got the Whole World	7CzxUGCG48wxTXGyFihJCN
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Big Beautiful Planet	0GHPQLGlfg8LsCJ4z1Kc0j
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	I'm in the Mood	3YAdtVTdd7jllPD2QueRDw
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Something in My Shoe	72R8Q1mumZle2vDFdLb8E6
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Michaud	2bhcPSoRR64HralYEzakru
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Nursery Rhyme Instrumental	1DsQqM2bJzilq4xA2DHxDi
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Tete, Epaules	79B75bKzSZqM2iKbABrEnT
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	(Let's Do) The Numbers Rumba	0IkzmOlyaDF2lnpIuL8E1p
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Ducks Like Rain	31V1eRh5NBav7Yf93xIvjn
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	Row, Row, Row	4n23cBFyEC68DvqoVwXagm
Raffi	7oWSqrgMuIEyH9qp5nu2e5	Rise and Shine	42xceqLtghqbHcStOOeKep	1982	This Little Light of Mine	3BPFhsI1f4gFM3TaAaW7Dk
