artist	artistId	album	albumId	date	song	songId
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 1, BWV599: Nun komm, der Heiden Heiland	3yMRpaP7c2F99lsH3LGRm0
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 2, BWV600: Gott durch deine Güte	1mq3sM2ilFCgIWF3zbujuh
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 3, BWV601: Herr Christ, der ein’ge Gottes Sohn	61CuTBqH7lXB1Jg4WS24EM
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 4, BWV602: Lob sei dem allmächtigen Gott	6m7NA2wxwmU5W0jFXVv3B7
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 5, BWV603: Puer natus in Bethlehem	049u2uAvzlbKDd1tNIk2Bx
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 6, BWV604: Gelobet seist du, Jesu Christ	2PAa7JQT8HitcGB60qlvPQ
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 7, BWV605: Der Tag, der ist so freudenreich	2Mm4W9YHSFsFRx0LLb4q09
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 8, BWV606: Vom Himmel hoch, da komm ich her	1UnDlK3zqiexPfTC7pF2Ok
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 9, BWV607: Vom Himmel kam der Engel Schar	6lBpGwzvZsOhLnliAYrMoe
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 10, BWV608: In dulci jubilo	6FnLVAgmVdpuFEMr4tC8Ll
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 11, BWV609: Lobt Gott, ihr Christen allzugleich	62QeglvEXK51mS3XwBQAWs
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 12, BWV610 (C minor): Jesu, meine Freude	3J8hier36gcsquuw2Kgso8
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	Bach: Complete Organ Works Vol. 12	437pLeZrSq1LPIXZ1HEXfs	2019-09-06	Orgelbüchlein No. 13, BWV611: Christum wir sollen loben schon	5DSP3mBtxAoMULlBHB33Ei
